Last updated 13/05/2011,,,,,,,,,,,,,,,,,,,,,
YOUR BETTER LIFE INDEX - SCORE DATA FROM 0 TO 10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,TOPIC,Housing,,Income,,Jobs,,Community,Education,,Environment,Governance,,Health,,Life Satisfaction,Safety,,Work-life balance,,
,INDICATOR,Rooms per person,Dwelling without basic facilities,Household disposable income,Household financial wealth,Employment rate,Long-term unemployment rate,Quality of support network,Educational attainment,Students reading skills,Air pollution,Consultation on rule-making,Voter turnout,Life expectancy,Self-reported health,Life Satisfaction,Homicide rate,Assault rate,Employees working very long hours,Employment rate of women with children,Time devoted to leisure and personal care
ISO3,COUNTRY,,,,,,,,,,,,,,,,,,,,
AUS,Australia,9.44,,5.16,1.33,8.05,8.92,8.83,6.62,7.86,9.26,8.95,10,8.68,9.18,9.03,8.97,9.48,6.96,7.43,5.11
AUT,Austria,5.56,9.24,5.34,2.08,7.87,8.77,8.4,8.43,3.95,6.37,5.39,7.13,7.58,6.57,8.39,9.57,8.81,8.01,7.52,5.48
BEL,Belgium,8.89,9.65,4.87,3.38,4.87,5.53,7.34,6.6,7.08,7.89,2.63,9.13,6.81,7.78,7.1,8.45,5.6,9.19,6.19,10
CAN,Canada,10,,5.16,2.88,7.86,8.94,8.78,9.39,8.68,9.12,8.95,2.4,7.8,9.73,9.68,8.53,9.99,9.28,7.53,4.63
CHL,Chile,3.33,4.53,0,,4.04,,3.4,6.34,2.11,0,0,8.4,4.62,4.28,6.13,3.02,3.96,8.36,,
CZE,Czech Republic,3.33,9.59,2.25,0.52,5.79,6.5,5.37,10,4.64,8.44,5,3.45,4.07,6.33,4.84,8.28,8.43,8.08,7.43,
DNK,Denmark,6.67,10,4,1.25,8.4,8.42,9.57,7.39,6.11,8.87,5.26,8.17,5.71,7.37,10,8.79,8.13,9.72,8.56,9.04
EST,Estonia,2.78,2.87,1.34,0.45,4.56,1.38,3.09,9.61,6.64,9.59,1.32,2.91,0.33,4.3,1.29,4.57,6.42,9.5,7.98,4.54
FIN,Finland,6.67,9.53,4.38,0.82,6.77,7.8,7.77,8.43,9.7,9.15,7.37,5.5,6.92,6.25,8.71,7.84,9.25,9.32,8.32,7.85
FRA,France,6.11,9.53,5.29,2.01,5.48,5.89,8.03,6.66,6.17,9.53,1.58,7.61,8.13,7.05,6.77,8.79,7.39,8.22,6.71,8.19
DEU,Germany,5.56,9.3,5.34,2.15,7.68,6.27,7.82,9.11,6.32,8.89,2.63,6.26,7.25,5.73,6.45,9.31,8.36,8.97,6.7,8.47
GRC,Greece,2.78,8.95,3.6,0.68,4.11,3.71,3.88,5.24,5.04,5.79,4.74,5.52,7.03,7.73,3.55,9.05,8.21,8.88,4.42,
HUN,Hungary,1.67,5.85,1.45,0.46,2.82,3.76,5.21,8.21,6.04,9,6.18,3.44,0.22,4.11,0,8.71,8.21,9.38,5.57,6.01
ISL,Iceland,5,9.82,,,9.87,8.53,10,5.73,6.58,9.23,3.29,7.53,8.46,8.45,7.1,9.99,9.03,,10,
IRL,Ireland,7.78,9.82,4.39,1.04,4.23,2.6,9.84,6.58,6.17,9.6,7.37,4,6.92,9.1,8.39,8.28,9.03,9.37,4.98,5.53
ISR,Israel,2.44,,,3.04,4,7.98,7.55,8.46,4.27,6.66,0.53,3.51,8.24,8.29,8.71,7.93,8.73,5.05,,
ITA,Italy,3.89,9.88,4.41,2.57,3.28,5.46,3.83,4,5.33,7.49,3.16,6.88,8.68,5.51,5.48,8.97,7.54,9.1,3.97,6.88
JPN,Japan,6.11,6.26,4.08,3.41,7.37,7.82,5.8,9.38,8.3,6.74,5.53,4.09,9.99,0.27,4.52,9.57,9.85,,6.7,2.53
KOR,Korea,3.33,5.64,2.12,1.07,5.27,10,0.53,8.12,10,6.03,8.82,3.14,6.92,2.15,4.52,8.02,9.48,,,6.23
LUX,Luxembourg,6.67,9.53,,,5.86,8.6,8.62,6.34,4.11,9.59,4.21,1.75,7.69,7.32,7.74,8.71,7.84,9.34,5.3,
MEX,Mexico,,6.14,0.98,0.46,4.36,9.87,4.41,0.85,0,5.65,7.37,2.19,1.65,5.87,6.77,0,0,4.84,,0
NLD,Netherlands,7.22,10,4.86,2.92,8.79,8.65,8.51,7.19,7.29,6.03,4.34,6.84,7.25,8.45,9.03,9.14,7.31,10,8.09,8.2
NZL,New Zealand,8.89,,2.85,,8.06,9.35,9.73,6.99,8.39,9.72,8.68,6.65,7.47,10,8.06,8.88,9.33,7.17,8.2,5.16
NOR,Norway,6.67,9.94,5.82,0.17,8.98,9.64,7.61,8.37,6.84,8.95,6.45,6.22,7.69,8.34,9.35,9.48,8.58,9.47,,8.18
POL,Poland,1.67,7.19,1.44,0.26,4.01,7.28,7.13,9.4,6.6,5.19,9.21,1.19,2.2,4.54,3.55,8.97,9.4,8.44,5.66,5.86
PRT,Portugal,4.44,8.6,2.77,1.28,5.96,3.45,2.39,0,5.62,7.95,4.74,3.41,6.26,2.99,0.65,8.97,6.42,8.98,6.93,
SVK,Slovak Republic,2.22,9.36,1.91,0,3.86,0.6,5.74,9.85,4.58,9.49,4.87,1.36,1.32,0,4.52,8.53,8.43,8.84,6.51,
SVN,Slovenia,2.22,9.65,3.15,0.9,6.16,6.48,6.33,8.59,5.07,6.37,8.68,3.16,5.71,4.73,4.52,9.57,8.13,8.62,8.06,5.68
ESP,Spain,6.67,10,4.02,1,3.8,0,8.14,3.67,4.89,6.66,5.53,5.77,8.35,6.6,4.84,9.22,7.91,8.59,5.21,7.04
SWE,Sweden,6.11,10,5.02,1.84,8.18,8.45,9.26,9.06,6.33,9.99,9.34,7.19,8.35,8.19,9.03,9.22,7.16,9.86,8.33,6.3
CHE,Switzerland,5.56,9.94,5.3,4.59,10,8.37,7.66,9.35,6.6,7.68,6.71,0,9.45,8.51,9.03,9.4,7.91,8.83,8.73,
TUR,Turkey,0,0,,,0,6.59,0,0.33,3.41,4.8,3.68,7.65,0,6.09,2.58,7.5,6.57,0,0,5.78
GBR,United Kingdom,6.11,9.71,5.21,2.92,7.19,7.17,8.56,6.6,6.05,9.58,10,2.79,6.7,7.66,7.42,7.76,9.63,7.47,6.91,6.7
USA,United States,,10,8.16,4.84,6.32,6.88,7.18,9.65,6.54,8.26,6.58,8.84,4.73,9.71,8.06,5.52,9.85,7.75,7.87,5.16
,MIN,0.7,0,8712.33,2366.06,46.29,0.01,78.8,28.25,425.27,10.52,2,48.28,73.6,31.1,4.7,0,1.4,0.01,24.17,13.56
,MAX,2.5,17.1,37684.82,98440.24,78.59,9.1,97.6,90.9,539.27,61.55,11.5,95.17,82.7,89.7,7.8,11.6,14.8,0.45,86.5,16.61
